Time (s);Latitude (°);Longitude (°);Height (m);Horizontal Accuracy (m)
351;53.46859435;9.725650564;5.467906952;8.001208274
352;53.46859435;9.725650564;5.467906952;8.001208274
353;53.46859435;9.725650564;5.467906952;8.001208274
354;53.46859435;9.725650564;5.467906952;8.001208274
355;53.46859435;9.725650564;5.467906952;8.001208274
356;53.46859435;9.725650564;5.467906952;6.000906205
357;53.46848926;9.725900689;5.467906952;6.000906205
358;53.46848918;9.725933454;5.467906952;6.000906205
359;53.46849074;9.725951583;5.467906952;6.000906205
360;53.46849134;9.725962782;5.467906952;6.000906205
361;53.46848296;9.725979016;5.467906952;6.000906205
362;53.46848162;9.725991956;5.467906952;6.000906205
363;53.46847813;9.726004297;5.467906952;6.000906205
364;53.46847466;9.726022453;5.467906952;6.000906205
365;53.46847127;9.726035901;5.467906952;6.000906205
366;53.46847088;9.726048233;5.467906952;6.000906205
367;53.46846893;9.72605033;5.467906952;6.000906205
368;53.46846751;9.726054123;5.467906952;8.001208274
369;53.46846037;9.726052662;5.467906952;8.001208274
370;53.46845507;9.726057756;5.467906952;8.001208274
371;53.46844394;9.726061237;5.467906952;8.001208274
372;53.46843682;9.72605909;5.467906952;8.001208274
373;53.46842683;9.726059341;5.467906952;8.001208274
374;53.46841338;9.726050647;5.467906952;8.001208274
375;53.46841078;9.726053414;5.467906952;8.001208274
376;53.46841072;9.726052854;5.467906952;8.001208274
377;53.46840112;9.726055992;5.467906952;8.001208274
378;53.46839723;9.726054227;5.467906952;8.001208274
379;53.46838834;9.726049242;5.467906952;8.001208274
380;53.46837793;9.726042118;5.467906952;8.001208274
381;53.46836696;9.726040193;5.467906952;8.001208274
382;53.46835518;9.726044601;5.467906952;8.001208274
383;53.46833592;9.726074581;5.467906952;8.001208274
384;53.4683171;9.72609838;5.467906952;8.001208274
385;53.46830256;9.726120537;5.467906952;8.001208274
386;53.468288;9.726126474;5.467906952;8.001208274
387;53.4682785;9.726132381;5.467906952;8.001208274
388;53.46827532;9.726144775;5.467906952;8.001208274
389;53.46827328;9.726143146;5.467906952;8.001208274
390;53.46826466;9.726134414;5.467906952;8.001208274
391;53.46824838;9.726135736;5.467906952;8.001208274
392;53.46823135;9.726137588;5.467906952;6.000906205
393;53.46822189;9.726152921;5.467906952;6.000906205
394;53.46821856;9.726177399;5.467906952;6.000906205
395;53.46821349;9.726199642;5.467906952;6.000906205
396;53.46821271;9.726212853;5.467906952;6.000906205
397;53.46821689;9.726212695;5.467906952;6.000906205
398;53.46820821;9.726223491;5.467906952;6.000906205
399;53.46820332;9.726240565;5.467906952;6.000906205
400;53.46819484;9.726256174;5.467906952;6.000906205
401;53.46817644;9.726272717;5.467906952;6.000906205
402;53.46816723;9.726298023;5.467906952;6.000906205
403;53.46816935;9.726328894;5.467906952;6.000906205
404;53.46816979;9.726354006;5.467906952;6.000906205
405;53.46817007;9.726387951;5.467906952;6.000906205
406;53.4681697;9.726419598;5.467906952;6.000906205
407;53.46816806;9.726443926;5.467906952;6.000906205
408;53.46816555;9.726465907;5.467906952;16.00241655
409;53.4681529;9.726496055;5.467906952;16.00241655
410;53.4681452;9.726567428;5.467906952;16.00241655
411;53.46813654;9.726602598;5.467906952;16.00241655
412;53.46811697;9.726620343;5.467906952;16.00241655
413;53.46810749;9.726650571;5.467906952;16.00241655
414;53.46808914;9.726677477;5.467906952;16.00241655
415;53.46808247;9.726718574;5.467906952;16.00241655
416;53.46807176;9.726765223;5.467906952;16.00241655
417;53.46806281;9.726801828;5.467906952;16.00241655
418;53.46804635;9.726835327;5.467906952;16.00241655
419;53.46803837;9.726871761;5.467906952;16.00241655
420;53.46802928;9.726904789;5.467906952;16.00241655
421;53.46802794;9.726932159;5.467906952;16.00241655
422;53.46803078;9.726948852;5.467906952;16.00241655
423;53.46803491;9.726999327;5.467906952;16.00241655
424;53.46803633;9.727030346;5.467906952;16.00241655
425;53.4680376;9.727050383;5.467906952;16.00241655
426;53.46803657;9.727067011;5.467906952;16.00241655
427;53.46803612;9.727092222;5.467906952;16.00241655
428;53.46803411;9.727122041;5.467906952;16.00241655
429;53.46803211;9.727151073;5.467906952;16.00241655
430;53.46803316;9.727169429;5.467906952;16.00241655
431;53.46804202;9.727203642;5.467906952;6.000906205
432;53.46805127;9.727224668;5.467906952;6.000906205
433;53.4680552;9.727241106;5.467906952;6.000906205
434;53.46806162;9.727261362;5.467906952;6.000906205
435;53.46807612;9.727274332;5.467906952;4.000604137
436;53.46807971;9.727287446;5.467906952;4.000604137
437;53.46809033;9.727304922;5.467906952;4.000604137
438;53.46809954;9.727319972;5.467906952;4.000604137
439;53.46810917;9.727334251;5.467906952;6.000906205
440;53.46812081;9.727351139;5.467906952;6.000906205
441;53.46813459;9.727377789;5.467906952;6.000906205
442;53.46814474;9.727390426;5.467906952;6.000906205
443;53.46815251;9.727408572;5.467906952;6.000906205
444;53.4681643;9.727411225;5.467906952;6.000906205
445;53.46817326;9.72740963;5.467906952;6.000906205
446;53.46817826;9.727425254;5.467906952;6.000906205
447;53.46818892;9.727435064;5.467906952;6.000906205
448;53.46820034;9.727454727;5.467906952;6.000906205
449;53.46821682;9.727461242;5.467906952;6.000906205
450;53.46821921;9.727465252;5.467906952;6.000906205
451;53.46822409;9.727462931;5.467906952;6.000906205
452;53.4682297;9.727464262;5.467906952;6.000906205
453;53.46823364;9.727468552;5.467906952;6.000906205
454;53.46824359;9.727464758;5.467906952;6.000906205
455;53.46825659;9.72746855;5.467906952;6.000906205
456;53.46826769;9.727468784;5.467906952;6.000906205
457;53.46828064;9.727471027;5.467906952;6.000906205
458;53.46829091;9.727467389;5.467906952;6.000906205
459;53.4683031;9.727476011;5.467906952;6.000906205
460;53.46831739;9.727483815;5.467906952;6.000906205
461;53.46833686;9.727489873;5.467906952;6.000906205
462;53.46836007;9.727467831;5.467906952;6.000906205
463;53.46837315;9.727471586;5.467906952;6.000906205
464;53.46838368;9.727462257;5.467906952;6.000906205
465;53.46839657;9.72746151;5.467906952;6.000906205
466;53.46841212;9.727465711;5.467906952;6.000906205
467;53.4684265;9.727482008;5.467906952;6.000906205
468;53.46844718;9.727513394;5.467906952;6.000906205
469;53.46846873;9.727529693;5.467906952;6.000906205
470;53.46848514;9.727540782;5.467906952;6.000906205
471;53.4684926;9.727555929;5.467906952;6.000906205
472;53.46849243;9.727570617;5.467906952;6.000906205
473;53.46849336;9.72759037;5.467906952;6.000906205
474;53.46849555;9.727623258;5.467906952;6.000906205
475;53.46849592;9.727656648;5.467906952;6.000906205
476;53.46850559;9.72768672;5.467906952;6.000906205
477;53.46851516;9.72772413;5.467906952;6.000906205
478;53.46851938;9.727750862;5.464779282;6.000906205
479;53.46852872;9.727773123;5.422100487;6.000906205
480;53.46853976;9.727802769;5.388021893;6.000906205
481;53.46854169;9.72784178;5.351129765;6.000906205
482;53.46854217;9.727876548;5.297435593;6.000906205
483;53.46854489;9.727908171;5.246757872;6.000906205
484;53.46854442;9.727940331;5.205764807;6.000906205
485;53.46854386;9.727966739;5.158949283;6.000906205
486;53.46854238;9.727990411;5.118438568;6.000906205
487;53.46854274;9.728018781;5.078918823;6.000906205
488;53.46853897;9.72804686;5.027361716;6.000906205
489;53.46853657;9.728079598;4.958018383;6.000906205
490;53.46853217;9.728108651;4.883967884;6.000906205
491;53.4685307;9.7281303;4.814091826;6.000906205
492;53.46852801;9.728160129;4.765579333;6.000906205
493;53.46852702;9.728186419;4.703829204;6.000906205
494;53.46852792;9.728209927;4.65052971;6.000906205
495;53.46852656;9.728246735;4.6049898;6.000906205
496;53.46852253;9.728276763;4.53548601;6.000906205
497;53.46852236;9.72829094;4.476378038;6.000906205
498;53.46852589;9.728301256;4.468754061;6.000906205
499;53.4685273;9.728314975;4.467991663;6.000906205
500;53.4685198;9.728334396;4.467915423;6.000906205
501;53.46851267;9.72833967;4.467907799;6.000906205
502;53.46850976;9.728340483;4.467907037;6.000906205
503;53.46850733;9.728337089;4.46790696;6.000906205
504;53.468508;9.728336503;4.467906953;6.000906205
505;53.46851638;9.728337503;4.467906952;6.000906205
506;53.46851519;9.728341316;4.467906952;6.000906205
507;53.46851818;9.728338181;4.467906952;6.000906205
508;53.46852043;9.728346746;4.467906952;6.000906205
509;53.46852192;9.728346631;4.467906952;6.000906205
510;53.46852643;9.728354563;4.467906952;6.000906205
511;53.46853094;9.728351267;4.467906952;6.000906205
512;53.46853529;9.728366742;4.467906952;6.000906205
513;53.46854217;9.728370316;4.467906952;6.000906205
514;53.46855391;9.728371985;4.467906952;6.000906205
515;53.46856551;9.728373714;4.467906952;6.000906205
516;53.46858004;9.728375755;4.467906952;6.000906205
517;53.4685963;9.728380611;4.467906952;6.000906205
518;53.46861504;9.728380386;4.467906952;6.000906205
519;53.46862758;9.728380865;4.467906952;6.000906205
520;53.46863913;9.728370386;4.467906952;6.000906205
521;53.46867221;9.728338863;4.467906952;6.000906205
522;53.46870211;9.728312084;4.509994888;6.000906205
523;53.46872017;9.728295054;4.604315605;6.000906205
524;53.4687345;9.728294564;4.677890667;6.000906205
525;53.46875913;9.728304506;4.729241551;6.000906205
526;53.46878093;9.728324074;4.797328299;6.000906205
527;53.46880424;9.728336683;4.839361889;6.000906205
528;53.46882827;9.728353042;4.884633516;6.000906205
529;53.46885017;9.728366847;4.91754317;6.000906205
530;53.46887373;9.728381256;4.941227507;6.000906205
531;53.46888686;9.72839035;4.958801706;6.000906205
532;53.46889753;9.728392076;4.962704893;6.000906205
533;53.46891221;9.72840189;4.978778195;6.000906205
