TIME;ACC_X;ACC_Y;ACC_Z;GYR_X;GYR_Y;GYR_Z
5706;0.73;0.24;-9.71;-0.46;1.14;-0.47 
5730;0.73;0.23;-9.69;-0.53;1.30;-0.40 
5753;0.70;0.21;-9.70;-0.63;1.25;-0.34 
5777;0.71;0.21;-9.70;-0.53;1.33;-0.40 
5807;0.71;0.23;-9.69;-0.49;1.31;-0.60 
5830;0.69;0.22;-9.68;-0.49;1.38;-0.63 
5854;0.71;0.21;-9.70;-0.48;1.27;-0.40 
5876;0.76;0.24;-9.66;-0.65;1.43;-0.43 
5900;0.73;0.24;-9.71;-0.65;1.41;-0.46 
5923;0.71;0.22;-9.67;-0.61;1.42;-0.41 
5947;0.68;0.19;-9.72;-0.59;1.34;-0.56 
5969;0.73;0.22;-9.70;-0.72;1.46;-0.49 
5993;0.72;0.24;-9.67;-0.67;1.30;-0.43 
6026;0.74;0.21;-9.71;-0.43;1.39;-0.43 
6049;0.69;0.25;-9.68;-0.50;1.44;-0.45 
6073;0.72;0.22;-9.69;-0.54;1.38;-0.43 
6103;0.71;0.21;-9.72;-0.55;1.21;-0.50 
6126;0.77;0.21;-9.73;-0.64;1.36;-0.58 
6149;0.71;0.21;-9.68;-0.44;1.24;-0.50 
6172;0.74;0.24;-9.68;-0.72;1.05;-0.47 
6196;0.72;0.19;-9.70;-0.44;1.34;-0.37 
6219;0.73;0.27;-9.72;-0.56;1.33;-0.49 
6242;0.75;0.21;-9.70;-0.46;1.20;-0.34 
6265;0.75;0.24;-9.71;-0.59;1.37;-0.38 
6289;0.70;0.24;-9.67;-0.57;1.40;-0.39 
6312;0.76;0.23;-9.71;-0.43;1.23;-0.44 
6335;0.74;0.22;-9.70;-0.55;1.18;-0.48 
6359;0.72;0.21;-9.70;-0.45;1.34;-0.47 
6382;0.77;0.23;-9.70;-0.46;1.37;-0.47 
6412;0.70;0.21;-9.69;-0.56;1.31;-0.50 
6434;0.71;0.23;-9.69;-0.49;1.40;-0.48 
6458;0.70;0.23;-9.70;-0.63;1.27;-0.47 
6481;0.70;0.24;-9.71;-0.31;1.39;-0.55 
6504;0.69;0.22;-9.68;-0.53;1.29;-0.48 
6528;0.72;0.23;-9.69;-0.58;1.37;-0.45 
6551;0.74;0.26;-9.74;-0.52;1.41;-0.52 
6575;0.72;0.23;-9.69;-0.39;1.25;-0.47 
6597;0.73;0.26;-9.71;-0.67;1.37;-0.51 
6621;0.77;0.23;-9.69;-0.50;1.21;-0.48 
6644;0.76;0.23;-9.71;-0.37;1.31;-0.48 
6668;0.69;0.23;-9.70;-0.63;1.44;-0.44 
6690;0.70;0.20;-9.69;-0.68;1.45;-0.52 
6720;0.75;0.26;-9.70;-0.69;1.48;-0.32 
6744;0.74;0.21;-9.67;-0.43;1.28;-0.44 
6767;0.75;0.24;-9.74;-0.57;1.36;-0.40 
6791;0.70;0.25;-9.71;-0.60;1.49;-0.63 
6814;0.75;0.25;-9.69;-0.71;1.38;-0.44 
6837;0.74;0.20;-9.72;-0.37;1.39;-0.34 
6860;0.74;0.22;-9.71;-0.62;1.41;-0.43 
6884;0.74;0.22;-9.68;-0.51;1.37;-0.63 
6907;0.71;0.21;-9.72;-0.65;1.28;-0.62 
6931;0.71;0.24;-9.72;-0.49;1.38;-0.60 
6955;0.75;0.23;-9.71;-0.52;1.34;-0.55 
6978;0.70;0.22;-9.70;-0.43;1.25;-0.41 
7002;0.73;0.22;-9.67;-0.48;1.26;-0.53 
7030;0.70;0.23;-9.73;-0.58;1.21;-0.44 
7054;0.71;0.23;-9.72;-0.38;1.36;-0.43 
7077;0.74;0.20;-9.73;-0.52;1.38;-0.57 
7101;0.72;0.17;-9.67;-0.59;1.36;-0.53 
7123;0.70;0.25;-9.66;-0.47;1.28;-0.53 
7147;0.74;0.27;-9.71;-0.51;1.20;-0.43 
7171;0.71;0.19;-9.69;-0.40;1.35;-0.60 
7194;0.69;0.21;-9.71;-0.56;1.28;-0.37 
7217;0.68;0.25;-9.70;-0.46;1.31;-0.42 
7240;0.70;0.23;-9.68;-0.61;1.18;-0.53 
7264;0.76;0.16;-9.66;-0.56;1.37;-0.37 
7286;0.71;0.24;-9.70;-0.43;1.24;-0.51 
7310;0.72;0.20;-9.69;-0.53;1.34;-0.56 
7340;0.76;0.22;-9.74;-0.60;1.40;-0.48 
7363;0.77;0.21;-9.71;-0.47;1.46;-0.49 
7386;0.73;0.22;-9.71;-0.59;1.21;-0.57 
7409;0.72;0.23;-9.68;-0.47;1.43;-0.53 
7433;0.69;0.22;-9.67;-0.68;1.34;-0.61 
7455;0.72;0.18;-9.74;-0.50;1.59;-0.48 
7479;0.74;0.23;-9.68;-0.54;1.48;-0.48 
7502;0.73;0.23;-9.68;-0.56;1.33;-0.50 
7525;0.76;0.17;-9.72;-0.65;1.21;-0.47 
7548;0.71;0.27;-9.73;-0.51;1.30;-0.52 
7572;0.71;0.22;-9.69;-0.73;1.36;-0.55 
7596;0.75;0.20;-9.69;-0.47;1.51;-0.53 
7624;0.70;0.22;-9.70;-0.53;1.27;-0.56 
7648;0.74;0.25;-9.72;-0.47;1.23;-0.51 
7670;0.70;0.21;-9.70;-0.54;1.26;-0.53 
7694;0.70;0.22;-9.73;-0.47;1.35;-0.56 
7717;0.68;0.23;-9.71;-0.53;1.33;-0.31 
7741;0.70;0.22;-9.73;-0.54;1.46;-0.35 
7763;0.75;0.22;-9.68;-0.61;1.18;-0.47 
7787;0.73;0.24;-9.68;-0.47;1.44;-0.51 
7811;0.74;0.26;-9.73;-0.69;1.37;-0.43 
7833;0.73;0.23;-9.72;-0.59;1.32;-0.49 
7857;0.71;0.24;-9.69;-0.57;1.52;-0.27 
7880;0.75;0.21;-9.70;-0.51;1.27;-0.50 
7903;0.75;0.22;-9.72;-0.52;1.38;-0.42 
7932;0.71;0.24;-9.68;-0.62;1.23;-0.37 
7956;0.71;0.21;-9.70;-0.62;1.27;-0.51 
7980;0.76;0.23;-9.71;-0.69;1.29;-0.50 
8003;0.70;0.21;-9.73;-0.69;1.41;-0.52 
8026;0.71;0.20;-9.73;-0.56;1.17;-0.55 
8049;0.73;0.22;-9.71;-0.62;1.37;-0.59 
8073;0.71;0.23;-9.71;-0.53;1.31;-0.41 
8096;0.71;0.22;-9.70;-0.57;1.46;-0.47 
8120;0.71;0.23;-9.69;-0.55;1.30;-0.59 
8143;0.71;0.21;-9.72;-0.46;1.29;-0.53 
8167;0.70;0.27;-9.67;-0.49;1.37;-0.37 
8189;0.68;0.20;-9.72;-0.39;1.42;-0.45 
8213;0.68;0.24;-9.69;-0.59;1.34;-0.41 
8243;0.73;0.23;-9.70;-0.51;1.35;-0.52 
8266;0.71;0.24;-9.69;-0.47;1.23;-0.44 
8289;0.72;0.23;-9.69;-0.58;1.34;-0.49 
8312;0.76;0.25;-9.70;-0.53;1.33;-0.32 
8336;0.71;0.23;-9.70;-0.64;1.20;-0.53 
8358;0.74;0.23;-9.72;-0.47;1.34;-0.47 
8382;0.74;0.25;-9.70;-0.45;1.16;-0.47 
8421;0.73;0.23;-9.68;-0.56;1.34;-0.39 
8444;0.67;0.22;-9.72;-0.52;1.39;-0.60 
8467;0.71;0.19;-9.68;-0.61;1.43;-0.46 
8491;0.75;0.25;-9.68;-0.57;1.41;-0.55 
8514;0.71;0.21;-9.71;-0.56;1.35;-0.45 
8537;0.72;0.24;-9.70;-0.50;1.55;-0.60 
8566;0.73;0.24;-9.69;-0.42;1.12;-0.47 
8590;0.71;0.19;-9.72;-0.63;1.37;-0.50 
8612;0.72;0.23;-9.68;-0.56;1.50;-0.41 
8636;0.73;0.18;-9.73;-0.77;1.17;-0.34 
8659;0.70;0.24;-9.70;-0.74;1.37;-0.51 
8682;0.70;0.23;-9.67;-0.46;1.40;-0.42 
8706;0.71;0.23;-9.68;-0.63;1.18;-0.56 
8729;0.75;0.23;-9.71;-0.47;1.30;-0.66 
8752;0.75;0.26;-9.70;-0.56;1.38;-0.23 
8775;0.74;0.25;-9.71;-0.55;1.37;-0.33 
8799;0.73;0.24;-9.69;-0.54;1.32;-0.44 
8822;0.70;0.23;-9.70;-0.50;1.35;-0.34 
8845;0.73;0.21;-9.69;-0.44;1.38;-0.39 
8884;0.67;0.22;-9.72;-0.50;1.49;-0.40 
8907;0.73;0.24;-9.69;-0.59;1.14;-0.46 
8931;0.71;0.24;-9.69;-0.44;1.41;-0.53 
8954;0.76;0.26;-9.68;-0.48;1.32;-0.47 
8978;0.72;0.22;-9.67;-0.73;1.37;-0.54 
9000;0.75;0.26;-9.71;-0.49;1.42;-0.41 
9024;0.71;0.19;-9.69;-0.50;1.45;-0.43 
9048;0.70;0.22;-9.73;-0.56;1.39;-0.52 
9071;0.70;0.23;-9.71;-0.54;1.50;-0.38 
9094;0.74;0.22;-9.73;-0.59;1.27;-0.43 
9117;0.71;0.21;-9.67;-0.50;1.30;-0.53 
9141;0.70;0.25;-9.71;-0.63;1.36;-0.49 
9169;0.70;0.24;-9.70;-0.40;1.18;-0.50 
9193;0.68;0.25;-9.70;-0.59;1.43;-0.47 
9217;0.72;0.23;-9.72;-0.53;1.47;-0.53 
9239;0.70;0.25;-9.70;-0.69;1.26;-0.56 
9263;0.71;0.19;-9.70;-0.51;1.36;-0.34 
